,time,open,high,low,close,tick_volume,spread,real_volume,daily_bias,day_high_low_hour
0,2000-01-03,0.6563,0.6615,0.6557,0.6584,1988,50,0,1.0,10
1,2000-01-04,0.6583,0.6594,0.6541,0.6548,2919,50,0,-1.0,07
2,2000-01-05,0.6546,0.66,0.6535,0.6583,3213,50,0,1.0,08
3,2000-01-06,0.6581,0.6589,0.6525,0.6529,3457,50,0,-1.0,07
4,2000-01-07,0.6528,0.6562,0.6522,0.6555,2462,50,0,1.0,08
5,2000-01-10,0.6547,0.6574,0.6537,0.6557,2451,50,0,1.0,09
6,2000-01-11,0.6558,0.659,0.6527,0.6579,3101,50,0,1.0,13
7,2000-01-12,0.6578,0.6594,0.6567,0.6585,2493,50,0,1.0,09
8,2000-01-13,0.6586,0.6687,0.6582,0.6684,3365,50,0,1.0,00
9,2000-01-14,0.6685,0.6686,0.6647,0.6659,2454,50,0,-1.0,00
10,2000-01-17,0.6648,0.6663,0.663,0.6639,2297,50,0,-1.0,12
11,2000-01-18,0.6646,0.6664,0.662,0.6656,2654,50,0,1.0,12
12,2000-01-19,0.6655,0.666,0.6622,0.6637,2884,50,0,-1.0,10
13,2000-01-20,0.6638,0.6676,0.6615,0.6659,2926,50,0,1.0,08
14,2000-01-21,0.6657,0.6665,0.6614,0.6626,2859,50,0,-1.0,00
15,2000-01-24,0.659,0.6595,0.6527,0.6542,3326,50,0,-1.0,04
16,2000-01-25,0.6543,0.6575,0.6533,0.6552,2557,50,0,1.0,02
17,2000-01-26,0.6553,0.6575,0.6497,0.6522,2773,50,0,-1.0,12
18,2000-01-27,0.6519,0.656,0.6511,0.6542,2446,50,0,1.0,08
19,2000-01-28,0.6538,0.656,0.6229,0.6317,4544,50,0,-1.0,02
20,2000-01-31,0.639,0.64,0.6332,0.6373,3402,50,0,-1.0,04
21,2000-02-01,0.6372,0.6383,0.6294,0.6325,2930,50,0,-1.0,00
22,2000-02-02,0.6324,0.6412,0.6316,0.6378,3787,50,0,1.0,00
23,2000-02-03,0.6383,0.6405,0.6304,0.6367,4152,50,0,-1.0,18
24,2000-02-04,0.6362,0.6387,0.6287,0.6368,4428,50,0,1.0,14
25,2000-02-07,0.6379,0.643,0.6326,0.6338,3810,50,0,-1.0,15
26,2000-02-08,0.6336,0.6371,0.6311,0.6327,3890,50,0,-1.0,12
27,2000-02-09,0.6328,0.6385,0.6305,0.6358,3897,50,0,1.0,08
28,2000-02-10,0.6357,0.6366,0.6283,0.6305,4458,50,0,-1.0,00
29,2000-02-11,0.6307,0.6335,0.6253,0.6307,3464,50,0,1.0,00
30,2000-02-14,0.6317,0.633,0.6265,0.6267,2282,50,0,-1.0,04
31,2000-02-15,0.6266,0.6311,0.6238,0.629,3734,50,0,1.0,15
32,2000-02-16,0.6283,0.6334,0.6279,0.632,3742,50,0,1.0,16
