,time,open,high,low,close,tick_volume,spread,real_volume,daily_bias,day_high_low_hour
0,2015-01-02,312.25,315.39,310.97,312.72,3813,0,0,1.0,01
1,2015-01-03,312.72,313.5,285.6,289.83,10676,0,0,-1.0,01
2,2015-01-04,289.68,293.56,260.0,266.23,14678,0,0,-1.0,01
3,2015-01-05,266.22,279.5,262.0,268.32,10726,0,0,1.0,01
4,2015-01-06,268.55,285.58,268.55,284.52,8361,0,0,1.0,01
5,2015-01-07,284.52,301.02,281.27,291.89,8599,0,0,1.0,01
6,2015-01-08,291.89,294.9,282.49,288.0,7965,0,0,-1.0,01
7,2015-01-09,288.0,291.5,278.28,287.91,6834,0,0,-1.0,01
8,2015-01-10,286.34,286.34,268.85,271.99,10178,0,0,-1.0,01
9,2015-01-11,271.99,278.27,260.17,263.14,9775,0,0,-1.0,01
10,2015-01-12,263.14,269.5,258.21,265.27,11322,0,0,1.0,01
11,2015-01-13,265.24,266.92,221.57,231.0,17508,0,0,-1.0,01
12,2015-01-14,230.79,231.94,168.97,174.6,27812,0,0,-1.0,01
13,2015-01-15,174.59,226.01,162.68,201.36,26788,0,0,1.0,01
14,2015-01-16,201.37,219.77,196.0,204.88,18810,0,0,1.0,01
15,2015-01-17,204.88,211.51,193.94,197.1,13186,0,0,-1.0,01
16,2015-01-18,197.1,217.01,192.57,204.0,14079,0,0,1.0,01
17,2015-01-19,204.0,215.1,203.85,211.92,11632,0,0,1.0,01
18,2015-01-20,212.44,212.44,203.59,207.98,8508,0,0,-1.0,01
19,2015-01-21,207.97,223.46,207.42,222.5,8564,0,0,1.0,01
20,2015-01-22,222.86,233.86,219.05,227.5,12537,0,0,1.0,01
21,2015-01-23,227.5,230.51,221.01,229.87,7668,0,0,1.0,01
22,2015-01-24,229.87,247.22,225.8,238.37,11586,0,0,1.0,01
23,2015-01-25,238.37,253.88,238.33,246.99,13470,0,0,1.0,01
24,2015-01-26,246.99,303.3,246.03,264.79,23192,0,0,1.0,01
25,2015-01-27,264.08,267.0,241.09,252.0,15805,0,0,-1.0,01
26,2015-01-28,252.02,255.37,214.3,219.11,12745,0,0,-1.0,01
27,2015-01-29,219.34,233.52,212.2,227.04,14301,0,0,1.0,01
28,2015-01-30,227.04,235.0,218.85,221.21,10713,0,0,-1.0,01
29,2015-01-31,221.21,227.09,216.7,218.75,9186,0,0,-1.0,01
30,2015-02-01,218.73,226.71,208.01,225.28,12717,0,0,1.0,01
31,2015-02-02,225.12,226.84,218.27,221.68,10530,0,0,-1.0,01
32,2015-02-03,221.72,240.44,220.68,222.56,15769,0,0,1.0,01
33,2015-02-04,222.56,227.26,218.0,223.25,9990,0,0,1.0,01
34,2015-02-05,222.67,225.0,212.12,215.67,7334,0,0,-1.0,01
35,2015-02-06,215.63,223.0,213.24,219.64,7744,0,0,1.0,01
36,2015-02-07,219.63,225.91,216.99,224.01,7710,0,0,1.0,01
37,2015-02-08,224.03,226.8,218.0,220.63,4948,0,0,-1.0,01
38,2015-02-09,220.45,222.3,213.98,220.99,6887,0,0,1.0,01
39,2015-02-10,220.89,221.28,213.19,217.45,7260,0,0,-1.0,01
40,2015-02-11,216.75,220.97,214.86,215.38,4649,0,0,-1.0,01
41,2015-02-12,215.3,218.5,214.39,218.05,3306,0,0,1.0,01
42,2015-02-13,218.05,235.95,216.61,231.02,9472,0,0,1.0,01
43,2015-02-14,231.02,255.01,230.1,252.0,9684,0,0,1.0,01
44,2015-02-15,252.0,265.01,221.75,229.39,13515,0,0,-1.0,01
45,2015-02-16,229.0,237.37,224.43,232.98,10199,0,0,1.0,01
46,2015-02-17,232.98,243.0,229.87,237.65,8507,0,0,1.0,01
47,2015-02-18,237.53,241.47,228.33,230.06,6991,0,0,-1.0,01
48,2015-02-19,230.09,238.98,230.0,236.1,5941,0,0,1.0,01
49,2015-02-20,236.1,241.42,231.87,237.79,8478,0,0,1.0,01
50,2015-02-21,237.79,238.99,235.9,237.4,4515,0,0,-1.0,01
51,2015-02-22,237.68,238.96,226.24,229.23,5790,0,0,-1.0,01
52,2015-02-23,229.12,233.94,224.98,233.23,6702,0,0,1.0,01
53,2015-02-24,233.23,233.99,227.78,231.89,5836,0,0,-1.0,01
54,2015-02-25,232.1,232.82,228.9,231.01,4493,0,0,-1.0,01
55,2015-02-26,231.01,232.14,228.12,230.6,4571,0,0,-1.0,01
56,2015-02-27,230.54,252.2,230.54,249.04,9988,0,0,1.0,01
57,2015-02-28,249.04,249.82,243.68,247.55,5601,0,0,-1.0,01
58,2015-03-01,247.55,254.16,238.0,252.08,5956,0,0,1.0,01
59,2015-03-02,252.2,268.52,247.93,266.34,10455,0,0,1.0,01
60,2015-03-03,266.4,283.0,262.08,279.52,10194,0,0,1.0,01
61,2015-03-04,279.52,280.45,261.5,265.0,9494,0,0,-1.0,01
62,2015-03-05,265.0,276.03,259.0,273.0,13450,0,0,1.0,01
63,2015-03-06,273.49,275.31,266.22,270.63,6922,0,0,-1.0,01
64,2015-03-07,270.5,275.0,267.02,272.2,5222,0,0,1.0,01
65,2015-03-08,272.2,276.02,270.18,271.66,3910,0,0,-1.0,01
66,2015-03-09,271.66,289.9,270.31,286.73,7805,0,0,1.0,01
67,2015-03-10,286.73,299.0,284.48,290.94,9111,0,0,1.0,01
68,2015-03-11,290.93,294.49,285.65,291.93,7650,0,0,1.0,01
69,2015-03-12,292.0,295.0,290.12,292.0,4778,0,0,1.0,01
70,2015-03-13,292.0,292.61,285.0,285.8,5555,0,0,-1.0,01
71,2015-03-14,285.8,287.09,274.2,275.55,9893,0,0,-1.0,01
72,2015-03-15,275.33,281.81,274.83,280.73,5665,0,0,1.0,01
73,2015-03-16,280.73,290.97,279.4,287.5,6847,0,0,1.0,01
74,2015-03-17,286.8,289.3,281.58,283.97,4676,0,0,-1.0,01
75,2015-03-18,284.03,284.03,255.04,256.0,9736,0,0,-1.0,01
76,2015-03-19,256.0,260.0,243.0,252.7,12321,0,0,-1.0,01
77,2015-03-20,252.91,260.9,252.7,256.61,7240,0,0,1.0,01
78,2015-03-21,256.61,263.5,251.98,257.24,6361,0,0,1.0,01
79,2015-03-22,257.36,268.5,256.24,266.0,4321,0,0,1.0,01
80,2015-03-23,266.08,269.71,257.16,262.92,6771,0,0,-1.0,01
81,2015-03-24,262.92,265.0,243.5,248.19,8978,0,0,-1.0,01
82,2015-03-25,248.19,249.75,235.4,243.38,9103,0,0,-1.0,01
83,2015-03-26,243.39,252.92,243.14,245.67,6977,0,0,1.0,01
84,2015-03-27,245.63,248.0,241.0,245.8,5684,0,0,1.0,01
85,2015-03-28,245.79,252.27,244.25,249.01,18454,0,0,1.0,01
86,2015-03-29,249.15,250.71,236.7,238.48,6772,0,0,-1.0,01
87,2015-03-30,237.76,247.33,234.08,245.97,7278,0,0,1.0,01
88,2015-03-31,245.94,247.77,238.65,241.79,6614,0,0,-1.0,01
89,2015-04-01,241.79,244.41,236.99,242.67,5821,0,0,1.0,01
90,2015-04-02,242.67,253.28,238.99,249.73,7955,0,0,1.0,01
91,2015-04-03,249.53,252.92,247.12,251.64,6990,0,0,1.0,01
92,2015-04-04,251.64,252.0,246.63,249.56,5254,0,0,-1.0,01
93,2015-04-05,249.52,255.25,246.99,254.0,4042,0,0,1.0,01
94,2015-04-06,254.0,258.53,247.99,249.27,7442,0,0,-1.0,01
95,2015-04-07,249.27,251.99,244.0,249.48,7486,0,0,1.0,01
96,2015-04-08,249.48,250.5,241.0,243.89,5774,0,0,-1.0,01
97,2015-04-09,243.17,244.69,236.0,239.99,5143,0,0,-1.0,01
98,2015-04-10,240.0,242.48,229.09,231.43,6589,0,0,-1.0,01
99,2015-04-11,231.43,235.43,228.62,233.7,6341,0,0,1.0,01
100,2015-04-12,233.75,234.48,228.0,232.47,5580,0,0,-1.0,01
101,2015-04-13,232.46,234.29,221.05,222.2,5111,0,0,-1.0,01
102,2015-04-14,222.0,224.51,213.99,215.14,8723,0,0,-1.0,01
103,2015-04-15,215.14,222.31,214.18,218.91,6594,0,0,1.0,01
104,2015-04-16,218.91,228.04,218.91,227.0,6320,0,0,1.0,01
