,time,open,high,low,close,tick_volume,spread,real_volume,daily_bias,day_high_low_hour
0,2016-05-03,9.87,10.17,9.29,9.31,20164,0,0,-1.0,01
1,2016-05-04,9.31,9.86,9.2,9.43,16475,0,0,1.0,01
2,2016-05-05,9.43,9.89,9.28,9.7,14271,0,0,1.0,01
3,2016-05-06,9.7,9.89,8.97,9.08,15926,0,0,-1.0,01
4,2016-05-07,9.08,9.35,9.05,9.09,11600,0,0,1.0,01
5,2016-05-08,9.09,9.45,8.85,9.4,13084,0,0,1.0,01
6,2016-05-09,9.32,9.47,9.1,9.1,15168,0,0,-1.0,01
7,2016-05-10,9.1,9.37,9.1,9.3,7490,0,0,1.0,01
8,2016-05-11,9.3,9.9,9.28,9.82,7317,0,0,1.0,01
9,2016-05-12,9.82,10.52,9.67,10.15,18024,0,0,1.0,01
10,2016-05-13,10.15,11.12,9.84,10.25,17551,0,0,1.0,01
11,2016-05-14,10.25,10.46,9.75,10.12,16593,0,0,-1.0,01
12,2016-05-15,10.12,10.33,9.87,9.99,12713,0,0,-1.0,01
13,2016-05-16,9.9,11.39,9.87,11.25,14062,0,0,1.0,01
14,2016-05-17,11.2,12.59,11.0,11.91,15789,0,0,1.0,01
15,2016-05-18,11.91,14.31,11.91,12.8,18178,0,0,1.0,01
16,2016-05-19,12.8,14.49,12.7,14.25,18265,0,0,1.0,01
17,2016-05-20,14.25,15.0,13.45,13.91,16281,0,0,-1.0,01
18,2016-05-21,13.91,14.01,13.08,13.77,15424,0,0,-1.0,01
19,2016-05-22,13.77,14.37,13.72,14.26,11079,0,0,1.0,01
20,2016-05-23,14.27,14.44,13.68,13.92,10024,0,0,-1.0,01
21,2016-05-24,13.92,13.92,12.01,12.7,16454,0,0,-1.0,01
22,2016-05-25,12.7,12.88,11.85,12.35,9976,0,0,-1.0,01
23,2016-05-26,12.35,12.95,12.04,12.39,7518,0,0,1.0,01
24,2016-05-27,12.39,12.6,10.3,11.0,20756,0,0,-1.0,01
25,2016-05-28,11.0,12.04,10.16,11.03,23228,0,0,1.0,01
26,2016-05-29,11.03,12.23,10.88,11.9,17701,0,0,1.0,01
27,2016-05-30,11.91,12.59,11.72,12.5,7389,0,0,1.0,01
28,2016-05-31,12.5,13.92,12.42,13.68,6493,0,0,1.0,01
29,2016-06-01,13.68,13.97,13.1,13.64,12529,0,0,-1.0,01
30,2016-06-02,13.62,13.71,13.34,13.57,4857,0,0,-1.0,01
31,2016-06-03,13.57,13.6,12.86,13.07,7221,0,0,-1.0,01
32,2016-06-04,13.07,13.64,13.0,13.44,8247,0,0,1.0,01
33,2016-06-05,13.44,13.6,13.2,13.51,5590,0,0,1.0,01
34,2016-06-06,13.51,13.7,13.4,13.63,4462,0,0,1.0,01
35,2016-06-07,13.63,14.2,13.6,14.0,3876,0,0,1.0,01
36,2016-06-08,14.0,14.65,14.0,14.16,4052,0,0,1.0,01
37,2016-06-09,14.16,14.21,14.0,14.12,2529,0,0,-1.0,01
38,2016-06-10,14.12,14.15,13.5,13.57,7575,0,0,-1.0,01
39,2016-06-11,13.53,13.73,13.4,13.55,7760,0,0,1.0,01
40,2016-06-12,13.55,14.8,13.42,14.42,7230,0,0,1.0,01
41,2016-06-13,14.42,17.0,14.39,16.51,7733,0,0,1.0,01
42,2016-06-14,16.51,18.89,16.4,18.01,8160,0,0,1.0,01
43,2016-06-15,18.0,18.66,16.96,17.76,5059,0,0,-1.0,01
44,2016-06-16,17.76,19.64,17.43,19.57,6104,0,0,1.0,01
45,2016-06-17,19.57,20.5,12.84,14.13,16147,0,0,-1.0,01
46,2016-06-18,14.13,15.06,9.6,11.22,22158,0,0,-1.0,01
47,2016-06-19,11.22,12.78,10.16,11.58,14011,0,0,1.0,01
48,2016-06-20,11.57,12.1,10.16,11.39,15741,0,0,-1.0,01
49,2016-06-21,11.39,12.2,10.93,11.95,12835,0,0,1.0,01
50,2016-06-22,11.9,15.39,11.89,13.19,13652,0,0,1.0,01
51,2016-06-23,13.19,15.4,12.01,12.81,18353,0,0,-1.0,01
52,2016-06-24,12.8,13.82,12.75,13.39,11625,0,0,1.0,01
53,2016-06-25,13.4,13.86,13.4,13.52,6566,0,0,1.0,01
54,2016-06-26,13.52,13.72,13.09,13.17,6105,0,0,-1.0,01
55,2016-06-27,13.17,13.66,13.1,13.43,4985,0,0,1.0,01
56,2016-06-28,13.43,13.6,11.2,11.83,7039,0,0,-1.0,01
57,2016-06-29,11.83,12.56,11.36,12.54,7460,0,0,1.0,01
58,2016-06-30,12.54,12.68,11.9,12.01,8180,0,0,-1.0,01
59,2016-07-01,12.01,12.25,11.32,11.83,12817,0,0,-1.0,01
60,2016-07-02,11.82,12.08,11.65,11.7,6455,0,0,-1.0,01
61,2016-07-03,11.71,11.91,11.47,11.55,7149,0,0,-1.0,01
62,2016-07-04,11.54,11.76,11.06,11.15,6934,0,0,-1.0,01
