,time,open,high,low,close,tick_volume,spread,real_volume,daily_bias,day_high_low_hour
0,2000-01-03,1.0073,1.0278,1.0054,1.0243,6572,50,0,1.0,16
1,2000-01-04,1.0244,1.034,1.0213,1.0296,7254,50,0,1.0,09
2,2000-01-05,1.0296,1.0402,1.0284,1.032,6556,50,0,1.0,04
3,2000-01-06,1.032,1.0415,1.0272,1.0327,7295,50,0,1.0,20
4,2000-01-07,1.0326,1.0334,1.026,1.0294,5692,50,0,-1.0,00
5,2000-01-10,1.0286,1.0305,1.0211,1.0256,6083,50,0,-1.0,00
6,2000-01-11,1.0257,1.0341,1.0246,1.0331,6648,50,0,1.0,02
7,2000-01-12,1.0336,1.037,1.0261,1.0312,6893,50,0,-1.0,10
8,2000-01-13,1.0311,1.0318,1.0237,1.0258,6221,50,0,-1.0,00
9,2000-01-14,1.0257,1.0275,1.0114,1.0143,6078,50,0,-1.0,03
10,2000-01-17,1.0129,1.0148,1.0069,1.0122,5605,50,0,-1.0,08
11,2000-01-18,1.0123,1.0142,1.0072,1.0137,6699,50,0,1.0,12
12,2000-01-19,1.0137,1.0165,1.0085,1.0132,6441,50,0,-1.0,08
13,2000-01-20,1.0133,1.0188,1.0073,1.0169,6755,50,0,1.0,15
14,2000-01-21,1.0168,1.0193,1.005,1.0092,7672,50,0,-1.0,07
15,2000-01-24,1.0028,1.0077,0.9997,1.0073,6325,50,0,1.0,16
16,2000-01-25,1.0072,1.0096,0.9992,1.0009,5958,50,0,-1.0,06
17,2000-01-26,1.0009,1.0055,0.9995,1.0018,7110,50,0,1.0,21
18,2000-01-27,1.0019,1.003,0.9868,0.9882,7323,50,0,-1.0,09
19,2000-01-28,0.9881,0.9895,0.9736,0.9768,6738,50,0,-1.0,01
20,2000-01-31,0.9773,0.9829,0.9667,0.9708,6263,50,0,-1.0,13
21,2000-02-01,0.9708,0.9782,0.9667,0.9713,6749,50,0,1.0,09
22,2000-02-02,0.9712,0.9808,0.9694,0.9766,6750,50,0,1.0,07
23,2000-02-03,0.9765,0.9947,0.971,0.9904,7615,50,0,1.0,14
24,2000-02-04,0.9904,0.994,0.9747,0.9822,7352,50,0,-1.0,10
25,2000-02-07,0.9832,0.9832,0.9754,0.9815,5592,50,0,-1.0,00
26,2000-02-08,0.9814,0.9914,0.9786,0.9855,6815,50,0,1.0,11
27,2000-02-09,0.9857,0.9971,0.985,0.9943,7487,50,0,1.0,00
28,2000-02-10,0.9943,0.9962,0.9831,0.9855,7057,50,0,-1.0,07
29,2000-02-11,0.9856,0.9879,0.9786,0.9866,6344,50,0,1.0,14
30,2000-02-14,0.9877,0.9916,0.9776,0.978,6122,50,0,-1.0,12
31,2000-02-15,0.9781,0.9862,0.9763,0.9812,6543,50,0,1.0,14
32,2000-02-16,0.9812,0.9878,0.979,0.9863,5682,50,0,1.0,09
33,2000-02-17,0.9862,0.9958,0.9837,0.9878,6290,50,0,1.0,18
34,2000-02-18,0.9878,0.9902,0.9809,0.9848,6012,50,0,-1.0,08
35,2000-02-21,0.9854,0.9889,0.9843,0.9875,5335,50,0,1.0,14
36,2000-02-22,0.9876,1.0081,0.9871,1.0039,6379,50,0,1.0,00
37,2000-02-23,1.0038,1.0089,1.0011,1.0036,5791,50,0,-1.0,09
38,2000-02-24,1.0036,1.0042,0.9888,0.9919,6365,50,0,-1.0,06
39,2000-02-25,0.9923,0.993,0.9722,0.9752,6575,50,0,-1.0,05
40,2000-02-28,0.9728,0.9733,0.9401,0.971,7537,50,0,-1.0,23
41,2000-02-29,0.9709,0.9872,0.9622,0.9644,7639,50,0,-1.0,10
42,2000-03-01,0.9641,0.9767,0.9626,0.9729,7139,50,0,1.0,02
43,2000-03-02,0.9728,0.9793,0.9615,0.9655,7903,50,0,-1.0,09
44,2000-03-03,0.9657,0.9678,0.9594,0.9607,7042,50,0,-1.0,10
45,2000-03-06,0.9567,0.9672,0.9559,0.9585,6446,50,0,1.0,02
46,2000-03-07,0.9586,0.9624,0.9525,0.9583,7208,50,0,-1.0,12
47,2000-03-08,0.9584,0.9631,0.9521,0.9609,7313,50,0,1.0,16
48,2000-03-09,0.961,0.9698,0.9595,0.9668,7157,50,0,1.0,11
49,2000-03-10,0.9669,0.969,0.9599,0.9636,6847,50,0,-1.0,04
50,2000-03-13,0.9627,0.973,0.9616,0.9636,6671,50,0,1.0,00
51,2000-03-14,0.9637,0.9692,0.959,0.9685,6781,50,0,1.0,17
52,2000-03-15,0.9684,0.9714,0.964,0.9665,6719,50,0,-1.0,19
53,2000-03-16,0.9664,0.974,0.9646,0.9694,6689,50,0,1.0,00
54,2000-03-17,0.9695,0.973,0.9657,0.972,6320,50,0,1.0,15
55,2000-03-20,0.9725,0.9746,0.9684,0.973,6040,50,0,1.0,18
56,2000-03-21,0.9727,0.974,0.9607,0.9617,6639,50,0,-1.0,06
57,2000-03-22,0.9616,0.9632,0.9573,0.9611,6830,50,0,-1.0,20
58,2000-03-23,0.9609,0.973,0.9601,0.9715,6293,50,0,1.0,10
59,2000-03-24,0.9716,0.9771,0.9672,0.9768,7079,50,0,1.0,16
60,2000-03-27,0.9774,0.979,0.9632,0.9665,6598,50,0,-1.0,08
61,2000-03-28,0.9668,0.9702,0.96,0.9605,7321,50,0,-1.0,16
62,2000-03-29,0.9608,0.9614,0.9478,0.9516,7407,50,0,-1.0,00
63,2000-03-30,0.9515,0.9624,0.9502,0.9609,6839,50,0,1.0,00
64,2000-03-31,0.9609,0.9632,0.9528,0.9553,6752,50,0,-1.0,01
