,time,open,high,low,close,tick_volume,spread,real_volume,daily_bias,day_high_low_hour
0,2000-01-03,1.6146,1.6400000000000001,1.6138,1.6360999999999999,4400,50,0,1.0,02
1,2000-01-04,1.6360999999999999,1.6415,1.631,1.6359,6100,50,0,-1.0,14
2,2000-01-05,1.6360000000000001,1.645,1.6354,1.6428,6489,50,0,1.0,00
3,2000-01-06,1.6425999999999998,1.6511,1.6411,1.6471,6507,50,0,1.0,02
4,2000-01-07,1.6474,1.6499000000000001,1.6360000000000001,1.6388,4738,50,0,-1.0,11
5,2000-01-10,1.6387,1.6396,1.6332,1.6371,6307,50,0,-1.0,03
6,2000-01-11,1.6372,1.6492,1.6359,1.6474,6270,50,0,1.0,02
7,2000-01-12,1.6475,1.6509,1.6451,1.6467,6913,50,0,-1.0,09
8,2000-01-13,1.6465999999999998,1.6501000000000001,1.6399,1.6472,6387,50,0,1.0,15
9,2000-01-14,1.6471,1.6481,1.6328,1.6348,5871,50,0,-1.0,11
10,2000-01-17,1.6345,1.6389,1.6297000000000001,1.6332,5537,50,0,-1.0,09
11,2000-01-18,1.6334,1.6393,1.6311,1.6381999999999999,6397,50,0,1.0,04
12,2000-01-19,1.6378,1.6455,1.6360000000000001,1.6449,6248,50,0,1.0,13
13,2000-01-20,1.6449,1.6575,1.642,1.6538,6511,50,0,1.0,11
14,2000-01-21,1.6535,1.6581000000000001,1.6476,1.6495,6337,50,0,-1.0,10
15,2000-01-24,1.6463999999999999,1.6560000000000001,1.6463999999999999,1.6529,5806,50,0,1.0,00
16,2000-01-25,1.6534,1.6543999999999999,1.643,1.6449,5746,50,0,-1.0,04
17,2000-01-26,1.6452,1.6471,1.6354,1.6401,6252,50,0,-1.0,11
18,2000-01-27,1.6402,1.6411,1.6341999999999999,1.6393,6169,50,0,-1.0,00
19,2000-01-28,1.6394,1.6399,1.6155,1.62,6739,50,0,-1.0,00
20,2000-01-31,1.6221,1.6261,1.6127,1.6162,6123,50,0,-1.0,13
21,2000-02-01,1.6162999999999998,1.6179999999999999,1.6098,1.6147,6446,50,0,-1.0,10
22,2000-02-02,1.6153,1.6156000000000001,1.6021999999999998,1.6088,6261,50,0,-1.0,00
23,2000-02-03,1.6087,1.6098,1.5939999999999999,1.5975000000000001,7423,50,0,-1.0,00
24,2000-02-04,1.5974,1.6025,1.583,1.5909,8219,50,0,-1.0,02
25,2000-02-07,1.591,1.5993,1.5884,1.5981,6390,50,0,1.0,18
26,2000-02-08,1.5979,1.6137000000000001,1.5967,1.6109,7528,50,0,1.0,14
27,2000-02-09,1.611,1.6177000000000001,1.6059,1.6166,8428,50,0,1.0,09
28,2000-02-10,1.6169,1.6177000000000001,1.6049,1.6097000000000001,8122,50,0,-1.0,07
29,2000-02-11,1.6091,1.6104,1.587,1.5924,8140,50,0,-1.0,05
30,2000-02-14,1.593,1.5973000000000002,1.5856,1.5862,7102,50,0,-1.0,09
31,2000-02-15,1.5867,1.5983,1.5842,1.5958999999999999,7409,50,0,1.0,14
32,2000-02-16,1.5960999999999999,1.6089,1.5941,1.6078999999999999,6767,50,0,1.0,09
33,2000-02-17,1.6076000000000001,1.6139999999999999,1.6023,1.6089,7140,50,0,1.0,18
34,2000-02-18,1.6085,1.6106,1.5951,1.6009,6423,50,0,-1.0,03
35,2000-02-21,1.6000999999999999,1.6025,1.5972,1.6002,6194,50,0,1.0,18
36,2000-02-22,1.5998,1.6196000000000002,1.5995,1.6125,7357,50,0,1.0,00
37,2000-02-23,1.6127,1.6166,1.6015000000000001,1.6038999999999999,6926,50,0,-1.0,07
38,2000-02-24,1.6038999999999999,1.6059999999999999,1.5969,1.6005,7404,50,0,-1.0,00
39,2000-02-25,1.6004,1.6013,1.5885,1.595,7064,50,0,-1.0,08
40,2000-02-28,1.5905,1.5977000000000001,1.5856,1.5952,6778,50,0,1.0,15
41,2000-02-29,1.5946,1.6023,1.5775000000000001,1.5794000000000001,7526,50,0,-1.0,10
42,2000-03-01,1.5791,1.5923,1.5752000000000002,1.5856,7572,50,0,1.0,15
43,2000-03-02,1.5855000000000001,1.5887,1.5754000000000001,1.5765,7721,50,0,-1.0,13
44,2000-03-03,1.5762,1.5842,1.5751,1.5785,7002,50,0,1.0,05
45,2000-03-06,1.5796999999999999,1.5825,1.571,1.5749,6388,50,0,-1.0,06
46,2000-03-07,1.5748,1.5823,1.5692,1.5806,7208,50,0,1.0,10
