,time,open,high,low,close,tick_volume,spread,real_volume,daily_bias,day_high_low_hour
0,2014-05-06,3593.91,3603.05,3546.42,3550.0,6936,0,0,-1.0,02
1,2014-05-07,3550.18,3565.93,3497.18,3539.03,12636,0,0,-1.0,02
2,2014-05-08,3538.41,3579.05,3517.94,3533.63,11745,0,0,-1.0,02
3,2014-05-09,3529.06,3551.56,3510.08,3549.3,6273,0,0,1.0,02
4,2014-05-12,3552.54,3612.82,3551.05,3612.05,6404,0,0,1.0,02
5,2014-05-13,3607.69,3623.43,3603.06,3609.74,3870,0,0,1.0,02
6,2014-05-14,3607.81,3614.3,3582.93,3600.26,5520,0,0,-1.0,02
7,2014-05-15,3598.44,3606.29,3539.89,3562.38,9675,0,0,-1.0,02
8,2014-05-16,3564.25,3588.68,3542.64,3584.92,7142,0,0,1.0,02
9,2014-05-19,3588.65,3616.82,3564.8,3610.57,8213,0,0,1.0,02
10,2014-05-20,3607.42,3623.08,3583.79,3598.29,6946,0,0,-1.0,02
11,2014-05-21,3596.8,3635.06,3592.82,3631.04,5025,0,0,1.0,02
12,2014-05-22,3631.65,3659.05,3630.8,3647.93,4023,0,0,1.0,02
13,2014-05-23,3647.39,3676.33,3644.64,3675.64,3514,0,0,1.0,02
14,2014-05-26,3681.01,3691.82,3677.14,3689.94,2044,0,0,1.0,02
15,2014-05-27,3687.03,3722.3,3685.43,3721.04,3974,0,0,1.0,02
16,2014-05-28,3720.05,3729.55,3707.15,3716.49,4125,0,0,-1.0,02
17,2014-05-29,3715.52,3736.54,3712.8,3736.16,2685,0,0,1.0,02
18,2014-05-30,3734.55,3739.68,3714.65,3733.44,4896,0,0,-1.0,02
19,2014-06-02,3732.15,3740.69,3707.14,3728.19,6315,0,0,-1.0,02
20,2014-06-03,3725.91,3734.89,3713.42,3733.41,3545,0,0,1.0,02
21,2014-06-04,3729.18,3748.68,3713.65,3743.04,5621,0,0,1.0,02
22,2014-06-05,3742.68,3781.44,3733.56,3777.18,6127,0,0,1.0,02
23,2014-06-06,3775.3,3794.43,3775.18,3794.43,1938,0,0,1.0,02
24,2014-06-09,3797.18,3802.31,3782.55,3793.19,3554,0,0,-1.0,02
25,2014-06-10,3791.29,3802.42,3784.29,3801.68,2588,0,0,1.0,02
26,2014-06-11,3799.29,3804.05,3779.04,3798.51,4925,0,0,-1.0,02
27,2014-06-12,3796.67,3805.8,3751.05,3773.75,8659,0,0,-1.0,02
28,2014-06-13,3766.93,3778.31,3752.55,3768.55,4991,0,0,1.0,02
29,2014-06-16,3767.42,3783.05,3749.67,3771.87,6232,0,0,1.0,02
30,2014-06-17,3773.68,3784.8,3762.54,3772.92,4377,0,0,-1.0,02
31,2014-06-18,3772.67,3799.56,3755.26,3794.43,6685,0,0,1.0,02
32,2014-06-19,3794.39,3802.67,3773.67,3786.49,5011,0,0,-1.0,02
33,2014-06-20,3785.3,3798.81,3784.17,3793.79,2080,0,0,1.0,02
34,2014-06-23,3791.04,3806.55,3784.55,3792.31,4274,0,0,1.0,02
35,2014-06-24,3789.93,3827.31,3780.8,3791.54,9142,0,0,1.0,02
36,2014-06-25,3790.55,3823.06,3782.54,3812.92,5868,0,0,1.0,02
