Date,Date,Open,High,Low,Close,Adj Close,Volume,weekly_bias,week_high_low_day
2000-09-18,2000-09-18,3721.0,3874.0,3602.0,3776.0,3776.0,348500,1.0,Monday
2000-09-25,2000-09-25,3776.5,3830.0,3580.5,3621.0,3621.0,310630,-1.0,Monday
2000-10-02,2000-10-02,3621.0,3668.0,3305.0,3357.5,3357.5,358503,-1.0,Monday
2000-10-09,2000-10-09,3359.5,3402.0,3021.5,3270.5,3270.5,368860,-1.0,Monday
2000-10-16,2000-10-16,3274.0,3555.5,3025.0,3499.5,3499.5,349139,1.0,Wednesday
2000-10-23,2000-10-23,3498.5,3563.5,2978.5,3222.5,3222.5,367602,-1.0,Monday
2000-10-30,2000-10-30,3220.0,3387.0,3062.0,3353.0,3353.0,322591,1.0,Monday
2000-11-06,2000-11-06,3353.0,3400.0,2892.0,2893.0,2893.0,327665,-1.0,Monday
2000-11-13,2000-11-13,2858.0,3116.5,2755.0,2939.5,2939.5,433056,1.0,Monday
2000-11-20,2000-11-20,2929.0,2946.0,2676.0,2829.0,2829.0,217496,-1.0,Monday
2000-11-27,2000-11-27,2848.0,2929.0,2435.0,2572.5,2572.5,444016,-1.0,Monday
2000-12-04,2000-12-04,2572.5,2924.0,2480.0,2740.5,2740.5,305323,1.0,Monday
2000-12-11,2000-12-11,2855.0,2995.0,2556.0,2583.280029296875,2583.280029296875,90095,-1.0,Monday
2000-12-18,2000-12-18,2619.5,2692.0,2211.0,2469.0,2469.0,397436,-1.0,Monday
2000-12-25,2000-12-25,2481.5,2543.5,2358.5,2374.5,2374.5,211875,-1.0,Thursday
2001-01-01,2001-01-01,2375.0,2590.0,2130.5,2293.5,2293.5,391261,-1.0,Wednesday
2001-01-08,2001-01-08,2290.0,2617.0,2171.0,2540.0,2540.0,481747,1.0,Monday
2001-01-15,2001-01-15,2532.0,2769.0,2445.0,2686.5,2686.5,325096,1.0,Tuesday
2001-01-22,2001-01-22,2689.5,2797.0,2548.5,2645.5,2645.5,465426,-1.0,Wednesday
2001-01-29,2001-01-29,2630.0,2740.0,2478.0,2488.5,2488.5,384741,-1.0,Wednesday
2001-02-05,2001-02-05,2494.0,2547.5,2271.0,2277.0,2277.0,436386,-1.0,Tuesday
2001-02-12,2001-02-12,2276.5,2437.0,2181.0,2227.5,2227.5,515809,-1.0,Thursday
2001-02-19,2001-02-19,2230.0,2275.0,1941.0,2056.5,2056.5,483960,-1.0,Tuesday
